Date,Location,Nitrogen dioxide,Ozone,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Sulphur dioxide
2004,Broadway,76.86491204792091,,29.88602847046573,,9.17110493843779
2004,Brook Green,40.4465011888772,,22.430840807659735,,
2004,Oxford High St,63.54589708734695,,27.789443577385708,,
2004,Oxford St Ebbes (Cal Club),,40.37627870216314,,,
2004,Watford Roadside,38.83654703549304,37.22671615935356,,,
2004,Watford Town Hall,,,24.200917388589705,,
2005,Broadway,73.64585441478118,,32.5117146085423,,8.271812482762467
2005,Brook Green,39.992881425051934,,23.615790065861315,,
2005,Oxford High St,49.3628634655282,,25.59443373457876,,
2005,Oxford St Ebbes (Cal Club),,39.65282541941563,,,
2005,Scrubs Lane,43.33727392818087,,36.71846060232784,,
2005,Watford Roadside,37.95879594066547,35.039582271301235,,,
2005,Watford Town Hall,,,24.798499136129163,,
2006,Broadway,83.22557571369289,,30.188317537016243,,6.04602677311803
2006,Brook Green,39.172744241901576,,22.460461709840118,,
2006,Oxford High St,55.82056537600665,,28.368754538578923,,
2006,Oxford St Ebbes (Cal Club),,45.274464384603114,,,
2006,Reading - Caversham Road,39.60795710469079,,,,
2006,Reading Caversham Road,39.60795710469079,,,,
2006,Watford Roadside,37.260014783055944,39.207048556135774,,,
2006,Watford Town Hall,,,23.5305517946566,,
2007,Broadway,82.88680549086635,,29.188277532168286,,4.742114370779755
2007,Brook Green,37.43456371294859,,22.075413367264485,,
2007,Oxford High St,58.2570257172085,,25.96170490748388,,
2007,Oxford St Ebbes (Cal Club),,39.94539447623323,,,
2007,Reading - Caversham Road,41.87568275623483,,27.25940426932951,,
2007,Reading - Kings Road,67.6929452303025,,,,
2007,Reading - Oxford Road,50.04151021156379,,36.082138061214145,,
2007,Reading Caversham Road,41.777939678615105,,27.27060008559787,,
2007,Reading Kings Road,67.6929452303025,,,,
2007,Reading Oxford Road,50.04151021156379,,36.082138061214145,,
2007,Watford Roadside,35.79176019233154,43.26305339279385,,,
2007,Watford Town Hall,,,23.221057177476,,
2008,Broadway,74.42443981784189,,29.484993629455467,,
2008,Brook Green,38.72923127012198,,22.242550351286585,,
2008,Oxford High St,54.460015881320864,,24.872507720832754,,
2008,Oxford St Ebbes (Cal Club),,41.21623794826508,,,
2008,Reading - Caversham Road,39.556375909742094,,24.116270128205887,,
2008,Reading - Kings Road,55.597748090043076,,23.068882096781536,,
2008,Reading - Oxford Road,35.18645971149881,,26.566862880817762,,
2008,Reading Caversham Road,39.53784839417873,,24.0687378819316,,
2008,Reading Kings Road,55.60760074372178,,23.00908286836395,,
2008,Reading Oxford Road,35.18010147500646,,26.515397287146296,,
2008,Watford Town Hall,33.70004099844073,,21.123615861857893,,
2009,Brook Green,50.33713471889952,,20.22278196785961,,
2009,Oxford High St,54.83390174698989,,25.106132877001272,,
2009,Oxford St Ebbes (Cal Club),,46.34964366921064,,,
2009,Reading - Caversham Road,45.19361125188495,,27.446047681896317,,
2009,Reading - Kings Road,50.99678497658754,,22.102387117853258,,
2009,Reading - Oxford Road,36.632994816743924,,24.900926975547762,,
2009,Reading Caversham Road,45.26161000479124,,27.45763736189225,,
2009,Reading Kings Road,51.04837321228488,,22.119648087767455,,
2009,Reading Oxford Road,36.632994816743924,,24.91081069739889,,
2009,Watford Town Hall,39.26549132562545,,21.864278641480237,,
2010,Oxford High St,60.259746362348295,,23.630868040363435,,
2010,Oxford St Ebbes (Cal Club),,49.67751969504908,,,
2010,Reading - Caversham Road,48.38071962388298,,26.59073273180006,,
2010,Reading - Kings Road,53.38767237669649,,25.545106657489693,,
2010,Reading - Oxford Road,39.18155782258662,,24.519224587131443,,
2010,Reading Caversham Road,48.39018786136533,,26.59073273180006,,
2010,Reading Kings Road,53.3900827243663,,25.553894020365764,,
2010,Reading Oxford Road,39.187717000274326,,24.514127902368056,,
2010,Watford Town Hall,38.79100702531181,,22.718199554223883,,
2011,H&F Shepherd's Bush,83.64898474419026,,32.77238052568698,,
2011,Oxford High St,52.55301708890414,,22.91341079295766,,
2011,Oxford St Ebbes (Cal Club),,38.608095943348985,,,
2011,Reading - Caversham Road,47.40351904622825,,32.104825988281696,,
2011,Reading - Kings Road,52.43309842102304,,30.787405467133425,,
2011,Reading - Oxford Road,37.81761432379444,,25.276413872870307,,
2011,Reading Caversham Road,47.47423072118094,,32.145254264005686,,
2011,Reading Kings Road,52.5303642235769,,30.82161729363644,,
2011,Reading Oxford Road,37.86456141420532,,25.29723365171297,,
2011,Watford Town Hall,38.54786485792271,,24.512667014430686,,
2012,H&F Shepherd's Bush,92.04156192063498,,37.70916463911675,,
2012,Oxford High St,57.90691997301866,,20.511618587089643,,
2012,Oxford St Ebbes (Cal Club),,35.10002018106793,,,
2012,Reading - Caversham Road,46.588096244016505,,32.732575004685685,,
2012,Reading - Kings Road,53.490967719121365,,28.612622781591426,,
2012,Reading - Oxford Road,38.40890276747488,,23.492213173367656,,
2012,Reading Caversham Road,46.647561249635764,,32.73291907772086,,
2012,Reading Kings Road,53.490967719121365,,28.62765319323474,,
2012,Reading Oxford Road,38.48078271465362,,23.490679048517,,
2012,Watford Town Hall,38.5531932333797,,21.794203034165477,,
